Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,parent,depth,Source_NodeType,Target_NodeType,Unnamed: 0.1_y,similar_template_node,similarity
600971,4,463021,-508376182,0.25,,,,,,,600971,-1,1,3,27,82,98.75795042756876
600971,4,607498,-541121782,0.333333,,,,,,,600971,-1,1,3,,,0
600971,4,530665,-656897782,0.25,,,,,,,600971,-1,1,3,,,0
600971,4,579269,-685755382,0.166667,,,,,,,600971,-1,1,3,1,-99,99.99999990009546
600971,1,544636,15163602,1,0,3,37.5294,-41.5884,-23.8755,-111.541,600971,-1,1,1,,,0
600971,1,498608,16520421,1,0,3,37.5294,-41.5884,-24.4928,-111.08,600971,-1,1,1,,,0
600971,1,495711,27765727,1,0,3,37.5294,-41.5884,-25.0321,-111.211,600971,-1,1,1,,,0
600971,1,507346,29728822,1,0,0,37.5294,-41.5884,24.4182,-39.0987,600971,-1,1,1,,,0
600971,1,458365,28399738,1,0,3,37.5294,-41.5884,-25.3404,-110.732,600971,-1,1,1,,,0
600971,0,596866,31439805,1,,,,,,,600971,-1,1,1,,,0
600971,1,532753,3462138,1,0,5,37.5294,-41.5884,20.1631,157.94,600971,-1,1,1,,,0
600971,0,505857,9805008,1,,,,,,,600971,-1,1,1,,,0
600971,1,617516,29053916,1,0,1,37.5294,-41.5884,-28.3052,-8.67496,600971,-1,1,1,,,0
600971,0,655639,6568375,1,,,,,,,600971,-1,1,1,,,0
600971,1,589033,18240766,1,0,1,37.5294,-41.5884,-28.2509,-13.7172,600971,-1,1,1,,,0
600971,1,610477,12744525,1,0,1,37.5294,-41.5884,-29.6503,-10.6554,600971,-1,1,1,,,0
600971,0,657533,2857132,1,,,,,,,600971,-1,1,1,,,0
600971,1,479674,4329388,1,0,0,37.5294,-41.5884,36.9583,-39.6605,600971,-1,1,1,,,0
600971,0,486926,29483534,1,,,,,,,600971,-1,1,1,,,0
600971,1,493145,26450203,1,0,3,37.5294,-41.5884,-25.0831,-110.206,600971,-1,1,1,,,0
600971,0,539903,22513009,1,,,,,,,600971,-1,1,1,,,0
600971,0,481910,13910428,1,,,,,,,600971,-1,1,1,,,0
600971,0,597473,2077516,1,,,,,,,600971,-1,1,1,,,0
600971,1,514981,16089626,1,0,4,37.5294,-41.5884,3.01286,-162.591,600971,-1,1,1,,,0
600971,1,460865,24806215,1,0,4,37.5294,-41.5884,3.43396,-166.868,600971,-1,1,1,,,0
600971,1,593940,5371244,1,0,3,37.5294,-41.5884,-25.0608,-110.611,600971,-1,1,1,,,0
600971,1,645047,21611459,1,0,4,37.5294,-41.5884,3.10461,-158.62,600971,-1,1,1,,,0
600971,1,501694,19034459,1,0,4,37.5294,-41.5884,1.13242,-167.993,600971,-1,1,1,,,0
600971,1,481994,3752211,1,0,1,37.5294,-41.5884,-25.692,-13.7927,600971,-1,1,1,,,0
600971,1,526618,31137579,1,0,3,37.5294,-41.5884,-25.6331,-110.466,600971,-1,1,1,,,0
600971,1,512173,22206615,1,0,3,37.5294,-41.5884,-24.222,-110.594,600971,-1,1,1,,,0
600971,0,473838,13070849,1,,,,,,,600971,-1,1,1,,,0
600971,1,647959,1696325,1,0,1,37.5294,-41.5884,-31.5273,-13.0123,600971,-1,1,1,,,0
600971,0,570256,25765565,1,,,,,,,600971,-1,1,1,,,0
600971,1,629905,15332810,1,0,4,37.5294,-41.5884,1.89019,-169.069,600971,-1,1,1,,,0
600971,1,523586,21920454,1,0,3,37.5294,-41.5884,-25.4245,-111.509,600971,-1,1,1,5,27,39.70959033
600971,0,492205,22673568,1,,,,,,,600971,-1,1,1,,,0
600971,1,568224,27998910,1,0,1,37.5294,-41.5884,-29.6954,-10.4941,600971,-1,1,1,,,0
600971,0,536589,17484781,1,,,,,,,600971,-1,1,1,,,0
600971,0,468865,22053433,1,,,,,,,600971,-1,1,1,,,0
600971,1,616864,18942523,1,0,5,37.5294,-41.5884,23.7289,157.597,600971,-1,1,1,,,0
600971,0,571860,15034963,1,,,,,,,600971,-1,1,1,,,0
600971,1,641009,11864547,1,0,4,37.5294,-41.5884,8.69484,-171.593,600971,-1,1,1,,,0
600971,1,607751,26536069,1,0,1,37.5294,-41.5884,-28.9113,-13.7838,600971,-1,1,1,,,0
600971,1,627119,17844637,1,0,3,37.5294,-41.5884,-24.9142,-110.532,600971,-1,1,1,,,0
600971,1,569460,22646553,1,0,0,37.5294,-41.5884,23.2329,-38.9628,600971,-1,1,1,,,0
600971,0,579017,9691655,1,,,,,,,600971,-1,1,1,,,0
600971,1,590255,18950039,1,0,1,37.5294,-41.5884,-30.2673,-12.1962,600971,-1,1,1,,,0
600971,0,614757,23378793,1,,,,,,,600971,-1,1,1,,,0
600971,0,460615,26203812,1,,,,,,,600971,-1,1,1,,,0
600971,0,479949,20329488,1,,,,,,,600971,-1,1,1,,,0
600971,1,641128,28528017,1,0,4,37.5294,-41.5884,-3.02496,-163.247,600971,-1,1,1,,,0
600971,0,485523,8056284,1,,,,,,,600971,-1,1,1,,,0
600971,0,626174,8391058,1,,,,,,,600971,-1,1,1,,,0
600971,0,563293,24461436,1,,,,,,,600971,-1,1,1,,,0
600971,0,510324,27063412,1,,,,,,,600971,-1,1,1,,,0
600971,1,478225,31371878,1,0,5,37.5294,-41.5884,22.3712,158.091,600971,-1,1,1,,,0
600971,0,539846,8475912,1,,,,,,,600971,-1,1,1,,,0
600971,1,588773,3994592,1,0,2,37.5294,-41.5884,-18.8467,90.1872,600971,-1,1,1,,,0
600971,0,625455,10989656,1,,,,,,,600971,-1,1,1,,,0
600971,1,504949,25677054,1,0,4,37.5294,-41.5884,6.91589,-165.164,600971,-1,1,1,,,0
600971,1,504949,28170200,1,0,4,37.5294,-41.5884,6.91589,-165.164,600971,-1,1,1,,,0
600971,0,509369,27907454,1,,,,,,,600971,-1,1,1,,,0
